activityId,assetId,companyId,currentTripCost,driverEmergencyButton,driverId,humidity,insertionTime,isOccupied,latLng2,numberOfPassengers,originalTime,passengerEmergencyButton,readingId,requestTime,sensorStatus,sfdaSensorStatus,temprature,velocity,weight,latLng,lat,long
0,120569,9,,,71588,,2021-08-31T21:20:00,,0x00000000010C98350C7ACA4F47400BA47A21D36C3840,,2021-08-31T04:25:00,,BCFD966F-C92D-4D4A-BAC4-3C506FCA1F6C,2021-08-31T21:20:00,3,,,80.00003052,10205,0x00000000010C98350C7ACA4F47400BA47A21D36C3840,24.4250966,46.6233666
0,103313,9,,,63591,,2021-08-31T21:20:00,,0x00000000010C7620466348EF43400D8343B97ECD3D40,,2021-03-26T18:18:00,,89D3A1C5-FB72-4B5F-B559-4B0775D461BB,2021-08-31T21:20:00,2,,,0,7719,0x00000000010C7620466348EF43400D8343B97ECD3D40,29.8027149,39.8693966
0,113860,9,,,,,2021-08-31T21:20:00,,0x00000000010C6CA4B61ECFEF4340C4DACEADC64C3F40,,2021-08-15T00:30:00,,D4A6BE13-7746-4DC8-BCEA-7A0136B66DCC,2021-08-31T21:20:00,2,,,0,6580,0x00000000010C6CA4B61ECFEF4340C4DACEADC64C3F40,31.2999066,39.8735083
0,113874,9,,,68352,,2021-08-31T21:20:00,,0x00000000010C5E34BFF5BCAA4240AF319EF7B5583F40,,2021-07-14T12:18:00,,7B863598-4FC7-4B9F-BAF9-4B732913F935,2021-08-31T21:20:00,2,,,0,7866,0x00000000010C5E34BFF5BCAA4240AF319EF7B5583F40,31.3465266,37.3338916
24,127665,37,,,,0,2021-08-31T21:20:00,,0x00000000010C9306126FF80249405B94D92093703A40,,2021-08-31T21:20:00,,F3995B49-CD27-4364-B31E-E4A6A75E9F0E,2021-08-31T21:20:00,2,,0,0,3868.379395,0x00000000010C9306126FF80249405B94D92093703A40,26.439745,50.0232066
0,70423,9,,,68716,,2021-08-31T21:20:00,,0x00000000010C92AE997CB30149400A11700855663A40,,2021-03-06T14:11:00,,295525F5-BDCB-4E28-99CF-9A62E1ED031F,2021-08-31T21:20:00,2,,,0,7900,0x00000000010C92AE997CB30149400A11700855663A40,26.399735,50.01329
0,84154,9,,,54815,,2021-08-31T21:20:00,,0x00000000010C21A2E2491C5E4740E5E1F3797B963840,,2021-03-07T10:31:00,,67E77029-781D-46BD-A671-D565BBF492A7,2021-08-31T21:20:00,1,,,0,3491,0x00000000010C21A2E2491C5E4740E5E1F3797B963840,24.5878216,46.7352383
0,103132,8,,,28610,,2021-08-31T22:44:00,,0x00000000010C957D5704FF0D44408AB1A778B7CF3D40,,2021-08-31T22:44:00,,E71D1D68-0D30-46F4-9F4D-71AADCBBFE11,2021-08-31T22:44:00,12,,,0,0,0x00000000010C957D5704FF0D44408AB1A778B7CF3D40,29.8113933,40.109345
0,70512,8,,,47505,,2021-08-31T22:44:00,,0x00000000010CF446F7BD97014940CF31207BBD5B3A40,,2021-08-31T22:44:00,,8826E255-2DA5-4CCC-911E-63DBE0461CD0,2021-08-31T22:44:00,12,,,0,0,0x00000000010CF446F7BD97014940CF31207BBD5B3A40,26.35836,50.0124433
24,150665,3,,,25063,0,2021-08-31T22:27:00,,0x00000000010CC95A43A9BD5A4740EE3D5C72DC953840,,2021-08-31T22:27:00,,9471B7EB-11E0-4650-B5B7-554A382F2C71,2021-08-31T22:27:00,3,,0,56,13411.75977,0x00000000010CC95A43A9BD5A4740EE3D5C72DC953840,24.585395,46.708913
24,58314,3,,,40126,0,2021-08-31T22:27:00,,0x00000000010CC40AB77C2405474032207BBDFB6B3C40,,2021-08-31T22:26:00,,F61D5072-F788-4B3D-8FCF-4DE58F1BBE27,2021-08-31T22:27:00,2,,0,0,7500,0x00000000010CC40AB77C2405474032207BBDFB6B3C40,28.42181,46.040176
24,73290,3,,,,0,2021-08-31T22:27:00,,0x00000000010C8675E3DD915F45403F558506622D3240,,2021-08-31T22:26:00,,DB40A704-98FA-4408-8B5E-C952F03F11F5,2021-08-31T22:27:00,2,,0,0,8000,0x00000000010C8675E3DD915F45403F558506622D3240,18.177277,42.746639
24,65417,3,,,45629,0,2021-08-31T22:27:00,,0x00000000010C5F9A22C0E9854740F73E558506E23740,,2021-08-31T22:26:00,,6B639F78-51AC-477A-A61D-99D34CCC2309,2021-08-31T22:27:00,2,,0,0,12120,0x00000000010C5F9A22C0E9854740F73E558506E23740,23.882912,47.046196
24,81672,3,,,53586,0,2021-08-31T22:27:00,,0x00000000010CA6B915C26A084440E8F4BC1B0BE63840,,2021-08-31T22:26:00,,FE811077-DCA5-4B9D-B677-7305BC83B195,2021-08-31T22:27:00,3,,0,86,12697.42969,0x00000000010CA6B915C26A084440E8F4BC1B0BE63840,24.898607,40.065758
24,142996,3,,,,0,2021-08-31T22:27:00,,0x00000000010C556D37C1370F44407FC0030308933540,,2021-08-31T22:26:00,,EBEC1D4E-D88C-4C7A-A2CE-ADB43B24EA1D,2021-08-31T22:27:00,3,,0,78,29511.75,0x00000000010C556D37C1370F44407FC0030308933540,21.574341,40.118889
